"Date","Price","Open","High","Low","Change %"
"11/24/2023","5.160","5.160","5.210","5.160","0.00%"
"11/23/2023","5.160","5.180","5.191","5.160","0.00%"
"11/22/2023","5.160","5.070","5.180","5.057","-0.23%"
"11/21/2023","5.172","5.070","5.180","5.057","1.81%"
"11/20/2023","5.080","5.040","5.080","5.040","0.75%"
"11/17/2023","5.042","5.050","5.051","5.040","0.64%"
"11/16/2023","5.010","5.010","5.010","4.973","0.00%"
"11/15/2023","5.010","5.030","5.042","4.963","-0.36%"
"11/14/2023","5.028","4.769","5.030","4.769","1.00%"
"11/13/2023","4.978","5.000","5.000","4.978","-0.40%"
"11/10/2023","4.998","5.011","5.011","4.998","-0.24%"
"11/09/2023","5.010","4.931","5.010","4.931","2.06%"
"11/08/2023","4.909","4.901","4.909","4.901","0.18%"
"11/07/2023","4.900","4.851","4.900","4.851","0.84%"
"11/06/2023","4.859","4.881","4.881","4.859","-0.45%"
"11/03/2023","4.881","4.881","4.881","4.859","0.02%"
"11/02/2023","4.880","4.872","4.880","4.859","0.16%"
"11/01/2023","4.872","4.901","4.901","4.872","-0.57%"
"10/31/2023","4.900","4.888","4.900","4.880","0.02%"
"10/30/2023","4.899","4.908","4.908","4.899","0.02%"
"10/27/2023","4.898","4.881","4.898","4.881","0.37%"
"10/26/2023","4.880","4.880","4.880","4.880","-0.16%"
"10/25/2023","4.888","4.888","4.901","4.888","0.00%"
"10/24/2023","4.888","4.818","4.888","4.810","-0.02%"
"10/23/2023","4.889","4.887","4.889","4.887","1.24%"
"10/20/2023","4.829","4.772","4.829","4.772","1.22%"
"10/19/2023","4.771","4.780","4.780","4.750","-0.19%"
"10/18/2023","4.780","4.859","4.859","4.780","-1.63%"
"10/17/2023","4.859","4.761","4.859","4.761","2.08%"
"10/16/2023","4.760","4.732","4.760","4.732","0.46%"
"10/13/2023","4.738","4.740","4.740","4.729","-0.04%"
"10/12/2023","4.740","4.780","4.780","4.720","-0.84%"
"10/11/2023","4.780","4.790","4.790","4.770","-0.21%"
"10/10/2023","4.790","4.790","4.790","4.781","0.21%"
"10/09/2023","4.780","4.710","4.780","4.710","1.08%"
"10/06/2023","4.729","4.751","4.751","4.690","-0.44%"
"10/05/2023","4.750","4.729","4.750","4.729","0.40%"
"10/04/2023","4.731","4.689","4.731","4.689","0.85%"
"10/03/2023","4.691","4.761","4.769","4.691","-2.58%"
"10/02/2023","4.815","4.814","4.815","4.814","1.18%"
"09/29/2023","4.759","4.789","4.789","4.750","-0.44%"
"09/28/2023","4.780","4.809","4.809","4.780","-0.62%"
"09/27/2023","4.810","4.872","4.872","4.810","-1.27%"
"09/26/2023","4.872","4.851","4.872","4.769","0.43%"
"09/25/2023","4.851","4.772","4.851","4.772","5.18%"
"09/22/2023","4.612","4.530","4.612","4.530","1.77%"
"09/21/2023","4.532","4.532","4.532","4.490","0.02%"
"09/20/2023","4.531","4.631","4.631","4.531","-2.12%"
"09/19/2023","4.629","4.498","4.629","4.498","2.87%"
"09/18/2023","4.500","4.399","4.500","4.399","2.27%"
"09/15/2023","4.400","4.369","4.400","4.369","0.46%"
"09/14/2023","4.380","4.390","4.390","4.100","-0.25%"
